addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,amenity.1,brand.1,check_date,cuisine.1,name.1,opening_hours.1,shop.1,meal,Micheline,category,Service,room_facilities,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
10,stationsplein,amsterdam nightlife ticket,,,i amsterdam visitor centre,,,amsterdam tourist office be opposite centraal station in the same building a smits koffiehuis besides map brochure and booking you can also buy tram and metro ticket at the gvb office there be some touch screen with general information about visit amsterdam,52.37751,,x x x x,,,,,amsterdam nightlife ticket,,1012ab,stationsplein 10,,,,,,ticket,,,4.900364,,msu 09001800,,,,httpwwwiamsterdamcomen,,vvv amsterdam,,mosu 10001900,other,31 6 46590417,,,,httpsamsterdamnightlifeticketcom,,,,,amsterdam nightlife ticket,mosu 10001900,ticket,,no,,,,,,,,,,,,,,,,,,
,,,,,i amsterdam city card,,,this card allows admittance to a selection of the city museum and attraction an no extra cost plus unlimited travel across the city on public transport plus a list of discount at some other attraction,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwiamsterdamcomeniamiamsterdamcitycard,,,,,other,,,,24h – €55 48h – €65 72h – €75 96h – €85,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,eurolines,,,the large international affiliation of international bus service be eurolines which have a terminal at duivendrecht railway station which be connect by train and by metro 50 and 54,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwweurolinesnl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,flixbus,,,german lowcost bus company offering connection to many german city such a berlin cologne and munich depart from sloterdijk station reachable by bus 22 train and metro line 50,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwflixbuscom,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,ouibus,,,the busoperating arm of the french railway company sncf which run a coach service between paris and lille to amsterdam it stop at the stadionplein tram 16 and 24 connect it with amsterdam centraal and metro station amstelveenseweg,,,,,,,,,,,,,,,,,,,,,,,,,,httpfrouibuscomfr,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,gvb card,,,multiday card be valid for an exact amount of hour available in the respective period of day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,1 hour € 290 1 day 24h € 750 child 1 day €250 2 day €1250 3 day €1700 4 day €2150 5 day €2650 6 day €3000 7 day €3300,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam travel ticket,,,it include a return ticket to and from schiphol for a train to any of amsterdam station and bus 197 plus unlimited travel on all gvb tram metro and nightbuses for 1 2 or 3 day these ticket be base on calendar day and expire at 0400 in the morning after the last valid day,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwnsnlproductenenoverigekaartjespamsterdamtravelticket,,,,,other,,,,€15 1 day €20 2 day and €25 3 day,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam region travel ticket,,,a 24h hour pas which allows unlimited travel in a whole httpwwwiamsterdamcomenvisitingareascityescapes great amsterdam area among the other location it include zandvoort edam aalsmeer keukenhof garden volendam and zaanse schans these ticket be available at i amsterdam visitor centre at service centre of gvb eb connexxion and some other location like hotel campsite etc,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwiamsterdamcomenvisitingplanyourtripgettingaroundpublictransportregiondayticket,,,,,other,,,,€1350,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,black bike,,,rent traditional black bike there be no bright red yellow blue or orange bike in their shop there be three location throughout the city center and the shop have long opening hour 7 day a week also rent out cargobikes for kid,,,,,,,,,,,nieuwezijds voorburgwal 146,,,,,,,,,,,mf 08002000 sa su 09001900,,,,httpwwwblackbikescom,,het zwarte fietsenplan,,,other,31 20 6708531,,,€9 3 hr €13 24 hr,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,frederic,,,bike insurance bag lock and child seat all include in the ask price close to centraal station bike be offer incognito for the discern guest who do not want to appear touristy,,,,,,,,,,,brouwersgracht 78,,,,,,,,,,,,,,,httpwwwfredericnlen,,,,,other,31 20 6245509,,,€8 3 hr €10 day till 1730 €15 24 hr €25 2 day €35 3 day,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,macbike,,,perhaps the most ubiquitous bicycle rental agency in amsterdam their bicycle be paint red with a macbike sign on the front everyone will know youre visit the bicycle be reliable and in a good condition several location around the city center for assistance or repair online bicycle reservation at their website,,,,,,,,,,,stationsplein 33,,,,,,,,,,,24 hour daily,,,,httpwwwmacbikenl,,,,,other,31 20 6253845,,,€750 3 hr €975 24 hr every day extra €6,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,orangebike,,,their bike be not so obviously color more discrete reliable and sturdy the typical dutch granny bike be available online reservation can be make,,,,,,,,,,,,,,,,,,,,,,09001800 daily,,,,httpwwworangebikenl,,,,,other,31 20 3541781,,,€5 1 hr €650 3 hr €950 day till 1800 €11 24 hr €1750 2 day,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,rent a bike damstraat,,,daily to weekly rental they have promotion in place with several hotel for discount ticket ask at the front desk offer repair for your bike and also have new and use bike sale,,,,,,,,,,,damstraat 2022,,,,,,,,,,,09001800 daily,,,,httpwwwrentabikenl,,,,,other,31 20 6255029,,,€1250 for the first 24 hr insurance include,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,star bike rental,,,classic and solid dutch bike for those who want to fit in with the local they have the traditional black granny pickup tandem bike for kid and for disabled need you can also arrange exclusive picnic and barbecue set within your rental,,,,,,,,,,,de ruyterkade 127,,,,,,,,,,,mf 08001900 sa su 09001900,,,,httpwwwstarbikesrentalcom,,,,,other,31 20 6203215,,,€5 4 hr €7 a day or €9 24 hr 2 locker include,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,ovfiets,,,this cycle hire service run by dutch railway n be mostly use by dutch resident a a dutch bank account be require for the yearly subscription also an ovchipkaart be need if you manage to obtain these it a very good option due to it ubiquity and low cost,,,,,,,,,,,any amsterdam train station except holendrecht and science park plus other location,,,,,,,,,,,,,,,httpwwwovfietsnl,,,,,other,,,,€10 per year subscription plus €315 per 24 hr usage,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,universiteit van amsterdam,,,found a the athenaeum illustre in 1632 in 1877 it become the university of amsterdam with about 25000 student the uva be on three separate campus in the city center and many small site scatter over amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwuvanl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,volksuniversiteit,,,despite the name it be not a university but a venerable institute for public education among the many course be dutch language course for foreigner,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwvolksuniversiteitamsterdamnl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,vrije universiteit,,,found in 1880 the vu campus be locate southwest of the city centre and approximately 20 minute away by bicycle it be the only protestant general university in the netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwvunl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam spoke,,,an english magazine feature amsterdam daily life it ambiance and trend,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamspokecom,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,time out amsterdam,,,the monthly bible for what be go on in town can be purchase all over town,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwtimeoutamsterdamnl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,uitkrant,,,a free monthly magazine listing all concert classical jazz pop etc exhibition museum and anything cultural to do in amsterdam it can be picked up at many spot in the city eg at the uitburo at the leidseplein,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamsuitburonlextrauitkrant,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,basiliek van de heilige nicolaas,,,,,,,,,,,,,,prins hendrikkade 73,,,,,,,,,,,eucharist su 1030 dutch 1300 spanish low mass m w th sa 1230 dutch tu 1230 english f 1230 spanish,,,,httpwwwnicolaasparochienl,,,,,other,31 20 6248749,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,begijnhofkapel,,,roman catholic chapel at the begijnhof officially know a the hh johannes en ursulakapel,,,,,,,,,,,begijnhof 29,,,,,,,,,,,eucharist mf 0900 and 1700 sa 0900 su 1000 all dutch and 1115 french,,,,httpwwwbegijnhofamsterdamnl,,,,,other,31 20 6221918,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
